No,long,lat,group,order,region,subregion,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA
60,-88.23549652,30.39541054,1,60,alabama,NA,-9,-9,1,-9,-9,-9,-9
61,-88.2870636,30.40114212,1,61,alabama,NA,-9,-9,1,-9,-9,-9,-9
62,-88.31571198,30.40114212,1,62,alabama,NA,-9,-9,1,-9,-9,-9,-9
63,-88.332901,30.40114212,1,63,alabama,NA,-9,-9,1,-9,-9,-9,-9
64,-88.35009766,30.42406082,1,64,alabama,NA,-9,-9,1,-9,-9,-9,-9
65,-88.39020538,30.41259956,1,65,alabama,NA,-9,-9,1,-9,-9,-9,-9
66,-88.40738678,30.73345757,1,66,alabama,NA,-9,-9,1,-9,-9,-9,-9
67,-88.41884613,30.99701691,1,67,alabama,NA,-9,-9,1,-9,-9,-9,-9
68,-88.43030548,31.12306786,1,68,alabama,NA,-9,-9,1,-9,-9,-9,-9
69,-88.45322418,31.43246651,1,69,alabama,NA,-9,-9,1,-9,-9,-9,-9
70,-88.46468353,31.69602585,1,70,alabama,NA,-9,-9,1,-9,-9,-9,-9
71,-88.47614288,31.89082909,1,71,alabama,NA,-9,-9,1,-9,-9,-9,-9
72,-88.43030548,32.22314453,1,72,alabama,NA,-9,-9,1,-9,-9,-9,-9
73,-88.43030548,32.30908966,1,73,alabama,NA,-9,-9,1,-9,-9,-9,-9
74,-88.39020538,32.57838058,1,74,alabama,NA,-9,-9,1,-9,-9,-9,-9
75,-88.35009766,32.92215347,1,75,alabama,NA,-9,-9,1,-9,-9,-9,-9
76,-88.33863068,32.9851799,1,76,alabama,NA,-9,-9,1,-9,-9,-9,-9
77,-88.29853058,33.2831192,1,77,alabama,NA,-9,-9,1,-9,-9,-9,-9
78,-88.27560425,33.52949142,1,78,alabama,NA,-9,-9,1,-9,-9,-9,-9
79,-88.25269318,33.73575592,1,79,alabama,NA,-9,-9,1,-9,-9,-9,-9
