HOUSEID,HHSTATE
30001977,NC
30001989,FL
30001989,FL
30001995,TX
30001998,IA
30001998,IA
30001998,IA
30002001,CA
30002001,CA
30002001,CA
30002001,CA
30002022,NY
30002032,NC
30002032,NC
30002049,CA
30002049,CA
30002051,MI
30002051,MI
30002066,TX
30002066,TX
30002070,PA
30002093,CA
30002095,CA
30002097,MD
30002097,MD
30002098,CA
30002098,CA
30002106,CA
30002106,CA
30002106,CA
30002106,CA
30002106,CA
30002153,CA
30002153,CA
30002153,CA
30002153,CA
30002153,CA
30002153,CA
30002157,TX
30002157,TX
30002157,TX
30002157,TX
30002163,IL
30002163,IL
30002163,IL
30002163,IL
30002164,GA
30002164,GA
30002164,GA
30002202,CA
30002202,CA
30002202,CA
30002204,SC
30002206,SC
30002206,SC
30002235,WI
30002235,WI
30002236,PA
30002236,PA
30002236,PA
30002236,PA
30002242,VT
30002242,VT
30002242,VT
30002253,CA
30002254,CA
30002254,CA
30002268,CA
30002274,NY
30002286,TX
30002312,TX
30002312,TX
30002315,CA
30002315,CA
30002316,CA
30002316,CA
30002324,TX
30002329,CA
30002335,CA
30002335,CA
30002342,WI
30002345,WI
30002345,WI
30002347,WI
30002347,WI
30002362,CA
30002362,CA
30002371,TX
30002377,NC
30002377,NC
30002377,NC
30002387,CA
30002391,TX
30002395,NC
30002395,NC
30002398,CA
30002398,CA
30002403,WI
30002406,CA
30002406,CA
30002408,WI
30002408,WI
30002414,CA
30002414,CA
30002418,SD
30002436,IL
30002448,FL
30002448,FL
30002454,GA
30002454,GA
30002454,GA
30002462,WA
30002462,WA
30002464,CA
30002464,CA
30002476,CA
30002480,CA
30002480,CA
30002480,CA
30002484,CA
30002497,TX
30002497,TX
30002503,MD
30002507,CA
30002507,CA
30002507,CA
30002507,CA
30002529,AZ
30002529,AZ
30002533,WI
30002533,WI
30002537,NC
30002567,CA
30002586,TX
30002586,TX
30002586,TX
30002590,TX
30002590,TX
30002609,NE
30002609,NE
30002616,NC
30002616,NC
30002618,TX
30002639,GA
30002639,GA
30002639,GA
30002642,CA
30002645,PA
30002661,SC
30002661,SC
30002666,WI
30002700,NC
30002700,NC
30002700,NC
30002700,NC
30002708,OK
30002708,OK
30002708,OK
30002721,TX
30002738,CA
30002738,CA
30002738,CA
30002740,CA
30002756,CA
30002756,CA
30002762,CA
30002762,CA
30002762,CA
30002826,GA
30002826,GA
30002828,SC
30002828,SC
30002828,SC
30002834,CA
30002835,NY
30002835,NY
30002837,MD
30002845,TX
30002845,TX
30002860,TX
30002863,GA
30002863,GA
30002863,GA
30002869,SC
30002869,SC
30002883,NY
30002883,NY
30002883,NY
30002892,TX
30002892,TX
30002892,TX
30002899,CA
30002899,CA
30002928,KY
30002929,GA
30002931,KS
30002931,KS
30002933,CA
30002934,CA
30002945,CA
30002945,CA
30002949,CA
30002949,CA
30002975,GA
30002989,NY
30002989,NY
30002991,CA
30003003,TX
30003003,TX
30003033,MD
30003033,MD
30003034,MD
30003034,MD
30003034,MD
30003039,TX
30003039,TX
30003043,WI
30003043,WI
30003043,WI
30003043,WI
30003044,CA
30003044,CA
30003049,DE
30003057,CA
30003057,CA
30003059,WI
30003059,WI
30003069,CA
30003069,CA
